exp_id	project_name	config_name	category	date	duration	HWAT	RHOO	HOIL	USG	nom_usg	inclination	WC	H	DPDX_FRIC	TIN	PMID	nom_usw	INCL	USW	nom_temp	nom_press	RHOW	HGAS	RHOG	DPDX	USL	HLIQ	PIN	nom_uso	USO
7343	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:34.868481Z		1.1174223859682184	810	3.3584967508068257	8.569398522020743	8.5	60	24.965204951699228	4.475919136775048	127.23568292731557	20.50339028209448	7.9602003243565544	0	60	0.005250142171148018	20.5	8	998	95.52408086322495	48.21014317174982	844.3414655902366	0.021029838053825682	4.475919136775048	8.052080678641797	0	0.015779695882677663
7344	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:35.949594Z		1.3979655809407683	810	4.192067864389089	6.431883934964165	6.5	60	25.008179192714476	5.590033445329879	-40.55948630482101	19.474145118892196	7.935553274363279	0	60	0.005256199175672837	19.5	8	998	94.40996655467012	48.05423579231236	751.8814786812985	0.021017920317861854	5.590033445329879	8.019532464534045	0	0.015761721142189017
7345	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:37.024527Z		1.8969902134851828	810	5.695360728552714	4.2906913644994855	4.25	60	24.985544371793726	7.5923509420379185	-83.02042631117752	18.61371220946312	7.918137118667363	0	60	0.005255558461488319	18.5	8	998	92.40764905796208	47.94406815784227	846.1414461753097	0.021034396462545513	7.5923509420379185	8.007342157512904	0	0.015778838001057192
7346	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:38.022312Z		2.3351242663109884	810	7.004502160372892	3.5002465639724347	3.5	60	25.002330496211254	9.339626426683832	-97.99017828491094	18.312594181001185	7.914563708424568	0	60	0.005259810036218372	18.25	8	998	90.66037357331616	47.92146419401045	951.1176481505894	0.02103727905290837	9.339626426683832	8.011613172650337	0	0.01577746901669
7347	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:39.075783Z		2.8489694019845855	810	8.548120256049847	2.859167086528303	2.75	60	24.99734131665969	11.397089658034423	-81.38105665350326	18.07854552537203	7.919567968666554	0	60	0.00525968034677131	18	8	998	88.60291034196558	47.95311914259715	1109.3805017453658	0.02104095903697547	11.397089658034423	8.030078038662674	0	0.01578127869020416
7348	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:40.170624Z		3.68527983828457	810	11.233632047692073	2.1397483653525216	2.25	60	24.70206853187891	14.918911885976618	79.67787874416354	18.039060980677604	7.940976257652044	0	60	0.005180719537952333	18	8	998	85.08108811402339	48.088539415403766	1512.783085944333	0.020972816633823308	14.918911885976618	8.088604891449211	0	0.015792097095870976
7349	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:41.204590Z		1.8749085260381988	810	2.8222796877925798	8.57276200800016	8.5	60	39.91555033961747	4.6971882138307866	134.6965213930539	20.41052115023136	7.971023438870908	0	60	0.008385594440860657	20.5	8	998	95.30281178616922	48.278605864921815	878.7755538201421	0.021008339781144605	4.6971882138307866	8.063449585974215	0	0.012622745340283948
7350	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:42.176289Z		2.260115165619953	810	3.404442405527216	6.42970148262239	6.5	60	39.899235504852385	5.664557571147178	-31.789965093525097	19.490350043773653	7.948302553772926	0	60	0.00839305823349617	19.5	8	998	94.33544242885282	48.134882634146024	779.8916844656833	0.021035636716586814	5.664557571147178	8.034055098861456	0	0.012642578483090642
7351	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:43.169312Z		3.1246034674745267	810	4.706177193198927	4.2892489753689835	4.25	60	39.901557748468505	7.830780660673437	-44.03124129492301	18.646364610791206	7.933498117983342	0	60	0.008391152942282248	18.75	8	998	92.16921933932656	48.04123569511543	920.9352819059749	0.02102963747725943	7.830780660673437	8.026960063010453	0	0.012638484534977183
7352	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:44.190937Z		3.863871327691081	810	5.818294243471073	3.4995626975140346	3.5	60	39.90709825495485	9.682165571162136	-61.684854360922145	18.250847636163236	7.928824110835791	0	60	0.008392974213884984	18.25	8	998	90.31783442883787	48.011669795502876	1034.7095247319487	0.02103128160375057	9.682165571162136	8.02967018958926	0	0.012638307389865586
